,学生ID,生源省市,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,裸眼视力(左),裸眼视力(右),身高,体重,考生类型,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类,大类.普通,大类.自招,大类.国防定向等,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩
853,14f2cd48636d146d7ab4,北京市,0,1,0,1,0,4.6,4.5,178,58,城镇应届,1,1,0,0,1,679,0,0,0,0,1,0,普通,1,0,0,0,0,0.006896552,-0.26214212,0,0.171428571,0.076923077,0
860,1e533582ac3e637b9fdf,北京市,1,1,0,1,0,,,164,54,城镇应届,1,0,1,0,1,674,0,0,1,0,0,0,普通,1,0,0,0,0,0.001666667,-0.262232114,0,0.085714286,0.076923077,0
866,a50cf9ada6bac3d61129,北京市,1,1,0,1,0,4.2,4.3,166,54,城镇应届,1,1,0,0,1,690,1,0,0,0,0,0,普通,1,0,0,0,0,0.04172851,1.18E-15,0,0.285714286,0.153846154,0
884,233594d3f9d1d5667d87,北京市,0,1,0,1,0,4.2,4.5,179,74,城镇应届,1,1,0,0,1,677,0,0,1,0,0,0,普通,1,0,0,0,0,0.019723866,-0.24122473,0,0.257142857,0,0
907,270cb7d7ff18fc80823c,北京市,0,0,0,1,0,5.3,4.9,177,68,城镇应届,1,1,0,0,1,663,1,0,0,0,0,0,国防、定向,0,0,1,0,0,0.000699301,-0.262245872,0,0.028571429,0.307692308,0.034482759
919,ea2fd928f19302ebe99b,北京市,0,1,0,1,0,,,176,67,城镇应届,1,1,0,0,1,693,0,0,0,0,0,1,博雅,0,1,0,0,0,0.00660066,-0.26156796,0,0.028571429,0.230769231,0
923,11cf3e828f6b05a4e43c,北京市,1,1,0,1,0,4.5,4.5,162,50,城镇应届,1,0,1,0,1,675,0,0,1,0,0,0,普通,1,0,0,0,0,0.03164557,-0.065584063,0,0.428571429,0.256410256,0
940,5641598f264fe6535029,北京市,1,0,0,1,0,4.3,4.7,160,45,城镇应届,1,0,1,0,1,670,0,0,1,0,0,1,博雅,0,1,0,0,0,0.002415459,-0.262245872,0,0.2,0.230769231,0
953,803055e9a94b1c8d8b9a,北京市,0,1,0,1,0,,,175,63,城镇应届,1,1,0,0,1,679,0,0,0,0,0,1,博雅,0,1,0,0,0,0.004143646,-0.153559791,0,0.257142857,0,0
963,a6da805800559fa67f7d,北京市,0,1,0,1,0,4.1,4.4,184,74,城镇应届,1,0,1,0,1,678,0,0,1,0,0,0,普通,1,0,0,0,0,0.069060773,-0.08536552,0,0.114285714,0.076923077,0
998,79f24865538864da6f75,北京市,0,1,0,1,0,4.2,4.3,173,66,城镇应届,1,0,1,0,1,672,0,0,1,0,0,0,普通,1,0,0,0,0,0.017241379,-0.258964634,0,0.171428571,0.025641026,0
0,1351e2a8ee9140935e5e,福建省,0,1,0,1,0,4.8,5,165,52,城镇应届,1,1,0,0,1,666,1,0,0,0,0,3,博雅,0,1,0,0,0,0.002816901,-0.26211454,0,0.114285714,0.205128205,0
32,ffc348c87d06e6408336,福建省,0,1,0,1,0,5,5,168,65,城镇应届,1,1,0,0,1,660,1,0,0,0,0,1,博雅,0,1,0,0,0,0.002849003,-0.261999783,0,0.085714286,0.102564103,0
68,71e36ceb820c052c9e79,福建省,1,1,0,1,0,4.8,4.5,158,44,城镇应届,1,0,1,0,1,635,0,0,0,1,0,0,普通,1,0,0,0,0,0.005979073,-0.261094989,0,0.057142857,0.128205128,0
113,6278435d824ee73328e9,福建省,0,1,0,1,0,4.8,4.6,177,64,城镇应届,1,1,0,0,1,677,0,1,0,0,0,4,博雅,0,1,0,0,0,0.009090909,-0.259413295,0,0.057142857,0.230769231,0
119,be83251c1929f081651c,福建省,0,1,0,1,0,5.2,5.2,168,59,城镇应届,1,1,0,0,1,595,1,0,0,0,0,5,自主,0,1,0,0,0,0.025974026,-0.254740111,0,0,0,0
160,83c8ce6c5a021ed4609c,福建省,0,1,0,1,0,4.4,4.4,165,50,城镇应届,1,0,1,0,1,646,0,1,0,0,0,1,博雅,0,1,0,0,0,0.04172851,1.18E-15,0,0.028571429,0.128205128,0
161,b080c79fae75f4bf9955,福建省,0,1,1,0,0,4.9,5.1,192,81,城镇应届,1,1,0,0,1,572,0,0,0,0,1,5,自主,0,1,0,0,0,0.059602649,0.084673785,0,0,0.025641026,0.103448276
170,e43af9481d6393401c47,福建省,1,1,0,1,0,5,5.3,160,53,城镇应届,1,1,0,0,1,649,0,0,0,0,1,1,博雅,0,1,0,0,0,0.04172851,-0.261887889,0,0.028571429,0.179487179,0.034482759
327,7a17ea085bfd13fd8fdf,福建省,1,1,0,1,0,,,164,54,农村应届,1,0,1,0,1,625,0,0,1,0,0,1,博雅,0,1,0,0,0,0.008333333,-0.261749047,0,0,0,0
352,9b80972a953accde6037,福建省,1,1,0,1,0,4.1,4,165,61,城镇应届,1,1,0,0,1,680,0,1,0,0,0,3,博雅,0,1,0,0,0,0.058201058,0.467093208,0,0.285714286,0.205128205,0
414,908cae1889be2bf13964,福建省,0,1,0,1,0,4.5,4.5,175,58,农村应届,1,1,0,0,1,645,0,0,0,0,1,0,国防、定向,0,0,1,0,0,0.002525253,-0.253886324,0,0.028571429,0.128205128,0
560,bb8424c2efa88c9295f4,福建省,1,1,0,1,0,4.8,4.8,159,52,城镇应届,1,0,1,0,1,642,0,1,0,0,0,2,博雅,0,1,0,0,0,0.005405405,-0.16909076,0,0.057142857,0.384615385,0
629,c7157c94c2b908233234,福建省,0,1,0,1,0,4.3,4.3,180,70,城镇应届,1,1,0,0,1,665,1,0,0,0,0,1,博雅,0,1,0,0,0,0.12195122,-0.262245872,0,0.114285714,0.102564103,0
633,38ade92c5621e9d17492,福建省,0,1,0,1,0,4.5,4.5,172,50,城镇应届,1,1,0,0,1,649,1,0,0,0,0,2,博雅,0,1,0,0,0,0.007478632,-0.262055218,0,0,0.076923077,0
636,9e52f4d40b9b2eb4bad6,福建省,0,1,0,1,0,4,4,170,58,农村应届,1,1,0,0,1,658,0,0,0,0,1,1,博雅,0,1,0,0,0,0.013793103,-0.260055462,0,0,0.128205128,0
654,4835c30e388fae5a3490,福建省,1,1,0,1,0,4.4,4.5,158,53,城镇应届,1,1,0,0,1,668,0,0,0,1,0,1,博雅,0,1,0,0,0,0.010701546,-0.253819115,0,0.057142857,0.205128205,0
670,48d428cb550bd064dbd0,福建省,0,1,0,1,0,4.8,4.9,181,85,城镇应届,1,0,1,0,1,626,0,0,0,1,0,1,博雅,0,1,0,0,0,0.006,-0.258603364,0,0.057142857,0.230769231,0
710,8c58bde564d898502e97,福建省,1,1,0,1,0,4.8,4.5,161,45,城镇应届,1,1,0,0,1,674,1,0,0,0,0,0,普通,1,0,0,0,0,0.025806452,-0.254273595,0,0.057142857,0.102564103,0
828,e64c595732b5858a6549,福建省,1,1,0,1,0,4.6,4.5,163,50,农村应届,1,0,1,0,1,631,0,0,0,1,0,0,普通,1,0,0,0,0,0.066666667,-0.23167302,0,0.114285714,0.102564103,0
857,aa0363bcf69081c81418,福建省,0,1,0,1,0,5.2,4.9,180,70,城镇应届,1,1,0,0,1,666,1,0,0,0,0,4,博雅,0,1,0,0,0,0.000833333,-0.262239495,0,0.028571429,0.076923077,0
900,58ad6831a655f748ee71,福建省,0,1,0,1,0,,,178,67,城镇应届,1,1,0,0,1,673,1,0,0,0,0,0,普通,1,0,0,0,0,0.003333333,-0.252386507,0,0.2,0.282051282,0
931,ef309c78986e2e71510b,福建省,0,1,0,1,0,4,4,178,71,城镇应届,1,1,0,0,1,668,1,0,0,0,0,1,博雅,0,1,0,0,0,0.022321429,-0.252757917,0,0.114285714,0.179487179,0
936,82db1b85e4e9bfb16153,福建省,0,1,0,1,0,4.4,4.5,174,61,城镇应届,1,1,0,0,1,666,0,0,0,0,1,1,博雅,0,1,0,0,0,0.04172851,1.18E-15,0,0.114285714,0.128205128,0.034482759
346,f58cc97c3c28bbfc5e3d,甘肃省,0,1,0,1,0,5,4.9,188,70,城镇应届,1,1,0,0,1,681,0,1,0,0,0,0,普通,1,0,0,0,0,0.051851852,0.333625082,0,0.028571429,0.051282051,0.068965517
357,f7b108ce9453de58aece,甘肃省,1,1,0,1,0,4.4,4.3,167,55,农村应届,1,0,1,0,1,597,0,0,1,0,0,2,博雅,0,1,0,0,0,0.136363636,8.761903436,0,0,0.102564103,0
451,fe89d41b7c2be4d7ec13,甘肃省,0,1,0,1,0,5,5,182,80,城镇应届,1,1,0,0,1,683,1,0,0,0,0,0,普通,1,0,0,0,0,0.009198423,-0.260220749,0,0.057142857,0.179487179,0.068965517
752,ca065db021401a796593,甘肃省,0,1,0,1,0,0.1,0.1,171,66,城镇应届,1,1,0,0,1,660,1,0,0,0,0,0,国家专项,0,0,1,0,0,0.005154639,-0.261931154,0,0,0.153846154,0
849,9edc5c32b8480615390f,甘肃省,0,1,0,1,0,4.3,4.2,171,50,农村应届,1,0,1,0,1,593,0,0,1,0,0,0,国家专项,0,0,1,0,0,0.008450704,-0.260045061,0,0.028571429,0.025641026,0
861,2271f3740250e0767117,甘肃省,0,1,0,1,0,4.9,4.9,175,64,农村应届,1,0,1,0,1,617,0,0,0,0,0,0,国家专项,0,0,1,0,0,0.004938272,-0.26153662,0,0.028571429,0,0
909,e617c5324a7deed93390,甘肃省,1,1,0,1,0,,,166,53,城镇应届,1,0,1,0,1,633,0,1,0,0,0,0,普通,1,0,0,0,0,0.004850445,-0.259418904,0,0.057142857,0.102564103,0
139,2e34742c3fcc3e4d0abd,广东省,1,1,0,1,0,,,170,53,城镇应届,1,0,1,0,1,628,0,0,0,1,0,2,博雅,0,1,0,0,0,0.003333333,-0.262245872,0,0,0.051282051,0
169,7777fd782a9c95c79180,广东省,1,1,0,1,0,,,160,52,城镇应届,1,1,0,0,1,691,1,0,0,0,0,0,普通,1,0,0,0,0,0.048966268,-0.238338738,0,0.114285714,0.102564103,0.206896552
174,ce460dfd8ceadfc44f74,广东省,1,1,0,1,0,0.6,0.6,157,46,城镇应届,1,0,1,0,1,639,0,0,1,0,0,0,普通,1,0,0,0,0,0.04172851,1.18E-15,0,0,0,0
195,27067bf485dc55fffb9f,广东省,0,1,0,1,0,,,172,67,城镇应届,1,1,0,0,1,679,1,0,0,0,0,3,博雅,0,1,0,0,0,0.054482759,-0.133285159,0,0.228571429,0.256410256,0
320,365dd7700b146889fd5c,广东省,1,1,0,1,0,4.2,4.3,160,46,城镇应届,1,0,1,0,1,633,0,0,1,0,0,0,普通,1,0,0,0,0,0.003407155,-0.257248491,0,0,0,0
412,c15b772056e8ac10e0f1,广东省,0,1,0,1,0,,,176,67,城镇应届,1,1,0,0,1,679,0,0,0,0,0,1,博雅,0,1,0,0,0,0.04172851,1.18E-15,0,0.142857143,0.128205128,0
432,097fb706c75960a6e8b7,广东省,0,1,0,1,0,4.3,4.5,180,60,城镇应届,1,1,0,0,1,646,0,1,0,0,0,2,博雅,0,1,0,0,0,0.00969697,-0.261110686,0,0.114285714,0.076923077,0
436,8bc39979c417dbf4c397,广东省,1,1,0,1,0,,,164,54,城镇应届,1,1,0,0,1,660,0,0,0,0,1,1,博雅,0,1,0,0,0,0.231481481,0.500866059,0,0.142857143,0.076923077,0
440,36e26d9018b0a7dd765e,广东省,0,1,0,1,0,,,168,46,城镇应届,1,0,1,0,1,642,0,1,0,0,0,2,博雅,0,1,0,0,0,0.153846154,-0.129154034,0,0.2,0.666666667,0
453,8c77be9ddee8741a9151,广东省,0,0,0,1,0,,,178,65,城镇应届,1,1,0,0,1,681,1,0,0,0,0,0,普通,1,0,0,0,0,0.001935484,-0.2621039,0,0.057142857,0.205128205,0
455,9d5d299a25872573a815,广东省,1,1,0,1,0,4.8,4.8,162,60,城镇应届,1,0,1,0,1,632,0,0,1,0,0,0,普通,1,0,0,0,0,0.085561497,0.330918752,0,0.114285714,0.58974359,0
464,fcd5b64cf94d45fbd234,广东省,0,1,0,1,0,4.3,4.2,181,67,城镇应届,1,1,0,0,1,683,0,0,0,0,1,3,博雅,0,1,0,0,0,0.004830918,-0.25679006,0,0,0.076923077,0
541,e2c72d1f4372e8ed3c52,广东省,0,1,0,1,0,4,4.1,175,65,城镇应届,1,1,0,0,1,677,1,0,0,0,0,0,普通,1,0,0,0,0,0.005830904,-0.258842423,0,0,0.025641026,0.034482759
549,ec08d044206fbc48475a,广东省,1,1,0,1,0,4.3,4.3,165,52,城镇应届,1,1,0,0,1,671,1,0,0,0,0,5,自主,0,1,0,0,0,0.16875,-0.197326388,0,0,0.025641026,0.137931034
